feature,importance
num__monthly_usage_gb,0.1471231
cat__plan_type_Pro,0.10024741
cat__plan_type_Basic,0.08135098
num__avg_latency_ms,0.08124277
cat__contract_type_Annual,0.07900136
num__tenure_months,0.07281088
cat__autopay_No,0.06802114
num__support_tickets_30d,0.055860028
num__downtime_hours_30d,0.052946337
cat__contract_type_Monthly,0.04292893
cat__autopay_Yes,0.042614553
num__payment_failures_90d,0.03880217
num__discount_pct,0.034946527
cat__is_promo_user_No,0.03453407
cat__is_promo_user_Yes,0.02844355
num__add_on_count,0.024949737
cat__plan_type_Standard,0.014176438
