age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_gt_50k
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,34,United-States,1
28,Private,HS-grad,9,Separated,Other-service,Husband,White,Male,0,0,44,United-States,0
29,Private,HS-grad,9,Divorced,Exec-managerial,Husband,White,Female,0,0,30,United-States,0
42,Private,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Female,0,0,48,United-States,0
32,Private,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,43,United-States,0
41,Private,Bachelors,13,Separated,Tech-support,Husband,White,Female,1000,0,48,United-States,1
18,Private,Some-college,10,Divorced,Prof-specialty,Husband,White,Female,0,0,30,United-States,0
35,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,Italy,0
32,Private,Some-college,10,Divorced,Handlers-cleaners,Wife,White,Male,0,0,47,United-States,1
32,Private,Some-college,10,Divorced,Craft-repair,Own-child,White,Female,0,2000,40,United-States,0
39,State-gov,Prof-school,15,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,0,0,38,United-States,0
41,Private,Some-college,10,Separated,Other-service,Husband,Asian-Pac-Islander,Male,0,0,59,United-States,0
33,Local-gov,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,32,United-States,0
40,Private,HS-grad,9,Never-married,Other-service,Husband,White,Male,0,0,43,United-States,0
31,Private,HS-grad,9,Divorced,Tech-support,Wife,Other,Female,0,0,52,United-States,0
49,Private,Some-college,10,Never-married,Priv-house-serv,Husband,White,Male,0,0,38,India,0
42,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,42,United-States,0
29,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,45,United-States,1
63,Private,11th,7,Never-married,Sales,Not-in-family,White,Female,0,500,45,United-States,1
27,Private,Some-college,10,Separated,Transport-moving,Not-in-family,Black,Female,10000,0,15,England,0
27,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,0,0,33,United-States,0
40,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,1
40,Private,Some-college,10,Separated,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41,Private,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Female,0,0,46,United-States,0
43,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Female,1000,0,33,United-States,0
