age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_gt_50k
45,Private,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,China,0
38,Private,Some-college,10,Never-married,Transport-moving,Wife,White,Male,0,0,51,United-States,0
47,Private,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,37,United-States,0
57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,48,United-States,1
37,Without-pay,HS-grad,9,Never-married,Protective-serv,Other-relative,White,Female,0,0,51,United-States,0
37,Private,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,30,Philippines,0
57,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,41,United-States,0
48,State-gov,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
35,Private,HS-grad,9,Never-married,Handlers-cleaners,Husband,Other,Male,0,0,46,United-States,0
46,Private,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,39,United-States,0
35,Local-gov,12th,8,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,53,England,0
35,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,37,United-States,0
43,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Unmarried,White,Female,0,0,34,Germany,0
19,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,2000,31,India,0
21,Private,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,36,United-States,0
34,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,35,United-States,0
29,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,43,Argentina,0
43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,0,34,United-States,0
30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,0
24,State-gov,Prof-school,15,Never-married,Craft-repair,Unmarried,White,Male,0,0,47,United-States,1
56,Federal-gov,HS-grad,9,Never-married,Sales,Husband,White,Male,0,0,45,United-States,0
38,Private,HS-grad,9,Never-married,Transport-moving,Husband,White,Female,0,0,39,China,0
41,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,35,United-States,0
24,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,Other,Male,0,0,48,Germany,0
34,Private,Some-college,10,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,22,Argentina,0
41,Local-gov,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,55,United-States,0
27,Private,Masters,14,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,34,United-States,0
44,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,42,United-States,0
33,Private,Some-college,10,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,53,United-States,0
37,Private,HS-grad,9,Never-married,Transport-moving,Husband,White,Male,0,0,31,United-States,0
33,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,37,India,0
60,Private,Masters,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,0,0,38,United-States,1
40,Private,HS-grad,9,Never-married,Prof-specialty,Wife,White,Male,0,0,46,Argentina,0
28,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,0,0,48,United-States,1
27,Private,Bachelors,13,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,32,United-States,0
42,Private,10th,6,Married-civ-spouse,Craft-repair,Wife,Black,Male,0,0,42,United-States,0
18,Self-emp-inc,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,42,United-States,0
25,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,34,United-States,0
42,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0,0,43,United-States,0
